name,family,imgsz,cores,smt,logical_cpus,frames,lat_mean_ms,lat_std_ms,lat_median_ms,lat_p95_ms,lat_ci_low,lat_ci_high,fps_mean,decode_mean_ms,preprocess_mean_ms,infer_mean_ms,postprocess_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,torch_threads,baseline_cpu_pct,cpu_model
ssd_small_320,ssd,320,1,0,1,397,27.413,0.396,27.345,28.057,27.376,27.455,36.479,7.232,6.374,18.42,2.619,98.7,98.7,650.9,1,0.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,2,0,2,397,25.73,0.257,25.686,26.21,25.703,25.753,38.866,7.217,6.198,16.941,2.591,189.4,94.7,663.8,2,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,4,0,4,397,25.117,0.409,25.004,25.79,25.077,25.16,39.814,7.445,6.249,16.223,2.645,371.6,92.9,658.5,4,10.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,6,0,6,397,24.962,1.494,24.659,25.559,24.831,25.118,40.061,7.884,6.353,15.903,2.706,555.7,92.6,666.9,6,4.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,6,1,12,397,32.499,0.929,32.28,34.113,32.41,32.596,30.771,9.228,7.902,20.306,4.29,1102.3,91.9,663.4,12,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,1,0,1,397,61.433,1.813,61.094,65.044,61.264,61.617,16.278,7.241,10.24,48.564,2.629,98.2,98.2,705.6,1,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,2,0,2,397,47.687,0.592,47.576,48.531,47.632,47.754,20.97,7.234,9.49,35.578,2.619,193.1,96.6,703.7,2,4.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,4,0,4,397,42.326,1.176,41.937,44.563,42.212,42.45,23.626,7.631,9.326,30.323,2.678,380.5,95.1,705.5,4,3.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,6,0,6,397,42.193,8.105,40.726,43.754,41.449,42.952,23.7,7.451,9.814,29.529,2.85,564.2,94.0,699.4,6,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,6,1,12,397,53.165,3.633,51.601,61.817,52.806,53.541,18.809,9.464,12.421,36.395,4.35,1091.1,90.9,703.4,12,4.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,1,0,1,397,136.043,5.819,134.788,141.659,135.506,136.713,7.351,7.657,17.711,115.68,2.652,98.2,98.2,770.2,1,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,2,0,2,397,95.635,2.318,96.29,98.956,95.408,95.869,10.456,7.204,15.529,77.462,2.644,195.3,97.7,767.0,2,0.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,4,0,4,397,81.331,1.974,80.937,84.715,81.142,81.52,12.295,7.472,14.918,63.747,2.666,387.7,96.9,770.7,4,9.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,6,0,6,397,80.516,6.614,79.249,86.93,79.947,81.188,12.42,7.606,15.185,62.525,2.806,579.6,96.6,770.9,6,3.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,6,1,12,397,96.714,5.14,95.705,107.967,96.242,97.213,10.34,9.558,19.256,73.144,4.314,1117.1,93.1,772.1,12,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
