name,family,imgsz,cores,smt,logical_cpus,mAP_50_95,mAP_50,map_ci_low,map_ci_high,AP_armor,AP_base,AP_car,AP_watcher,lat_mean_ms,lat_ci_low,lat_ci_high,lat_p95_ms,fps_mean,decode_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,frames,cpu_model
fast_320,yolo,320,6,0,6,0.496536,0.731608,0.490024,0.504023,0.006784,0.819634,0.643766,0.515959,19.618,18.672,20.747,27.594,50.973,6.305,519.4,86.6,708.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640_anchor,ssd,640,6,0,6,0.458019,0.772706,0.450305,0.465253,0.05922,0.760272,0.561141,0.451444,40.37,40.205,40.54,43.724,24.771,7.986,565.8,94.3,703.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640_anchor,ssd,640,6,0,6,0.450966,0.799834,0.443237,0.46115,0.076562,0.677477,0.577645,0.47218,79.886,79.349,80.456,88.795,12.518,7.724,575.5,95.9,811.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320_anchor,ssd,320,6,0,6,0.287249,0.641493,0.278596,0.299386,0.009905,0.567017,0.343606,0.228469,31.862,31.631,32.15,36.694,31.385,8.159,558.2,93.0,706.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320_anchor,ssd,320,6,0,6,0.281615,0.602423,0.272577,0.293684,0.006791,0.606269,0.298143,0.215256,27.634,27.363,28.003,31.361,36.187,8.0,548.3,91.4,660.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640,ssd,640,6,0,6,0.269006,0.621415,0.258591,0.282045,0.003827,0.40777,0.346853,0.317574,75.026,74.692,75.394,81.116,13.329,7.968,577.5,96.3,815.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,6,0,6,0.230494,0.557262,0.22005,0.243165,0.002375,0.422735,0.311231,0.185632,42.193,41.449,42.952,43.754,23.7,7.451,564.2,94.0,699.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320,ssd,320,6,0,6,0.180324,0.501951,0.171414,0.192361,0.003417,0.390002,0.189667,0.138211,30.532,30.475,30.593,31.728,32.753,7.858,561.3,93.5,706.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,6,0,6,0.147688,0.402588,0.138821,0.15748,0.0008,0.384302,0.162433,0.043217,24.962,24.831,25.118,25.559,40.061,7.884,555.7,92.6,666.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_groupnorm,ssd,960,6,0,6,0.127639,0.268325,0.118893,0.139052,0.000295,0.376013,0.12788,0.00637,83.876,83.18,84.594,99.229,11.922,7.715,578.0,96.3,769.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
