sequence,tracker,detector,cores,smt,logical_cpus,frames,detect_ms,track_ms,total_ms,total_ci_low,total_ci_high,total_p95_ms,fps,decode_ms,tracks_in_flight,track_share,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,baseline_cpu_pct,cpu_model
arc06,classical,fast_960,6,0,6,30,64.962,0.16,65.122,64.022,66.26,70.144,15.356,7.592,6.1,0.002,590.0,98.3,756.6,17.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,fast_960,1,0,1,30,154.762,0.414,155.176,154.58,155.739,156.816,6.444,7.284,6.1,0.003,93.3,93.3,789.5,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,fast_960,6,0,6,30,66.386,0.458,66.844,64.894,68.849,77.904,14.96,7.73,6.1,0.007,586.8,97.8,788.0,16.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,fast_960,1,0,1,30,154.458,118.982,273.44,266.874,280.139,300.242,3.657,7.276,6.1,0.435,98.2,98.2,809.3,5.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,fast_960,6,0,6,30,64.962,126.348,191.31,183.535,198.574,219.656,5.227,7.542,6.1,0.66,578.9,96.5,808.5,18.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,fast_960,1,0,1,10,158.485,4536.429,4694.914,4358.959,5063.577,5211.97,0.213,7.358,5.1,0.966,97.9,97.9,8892.4,2.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,fast_960,6,0,6,10,66.088,4424.356,4490.443,4168.034,4830.757,5094.789,0.223,7.088,5.1,0.985,126.1,21.0,8920.9,19.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,classical,ssd_small_960_anchor,1,0,1,30,144.061,0.1,144.161,142.476,146.355,154.679,6.937,7.972,3.3,0.001,99.2,99.2,745.8,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,classical,ssd_small_960_anchor,6,0,6,30,91.227,0.103,91.33,89.208,93.971,103.325,10.949,8.18,3.3,0.001,598.2,99.7,757.2,19.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,ssd_small_960_anchor,1,0,1,30,142.551,0.28,142.831,141.419,144.428,149.974,7.001,8.011,3.3,0.002,98.4,98.4,777.6,2.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,ssd_small_960_anchor,1,0,1,30,143.876,60.993,204.869,201.571,208.3,218.167,4.881,7.987,3.3,0.298,98.6,98.6,771.2,1.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,ssd_small_960_anchor,6,0,6,30,93.986,56.915,150.9,147.239,154.598,163.472,6.627,8.5,3.3,0.377,594.1,99.0,795.6,18.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,ssd_small_960_anchor,1,0,1,10,159.014,2588.145,2747.159,2586.444,2945.633,3164.776,0.364,8.093,3.1,0.942,98.4,98.4,4650.6,2.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,ssd_small_960_anchor,6,0,6,10,103.267,2377.591,2480.858,2351.601,2646.967,2857.046,0.403,7.666,3.1,0.958,168.0,28.0,4683.9,18.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,classical,strict,1,0,1,30,24.091,0.284,24.376,24.018,24.824,25.875,41.024,8.028,5.7,0.012,95.7,95.7,529.5,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,classical,strict,6,0,6,30,15.851,0.281,16.132,15.907,16.366,17.358,61.989,7.891,5.7,0.017,165.8,27.6,539.2,7.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,strict,1,0,1,30,24.314,0.61,24.925,24.606,25.277,26.596,40.121,8.019,5.5,0.024,95.8,95.8,564.7,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,strict,6,0,6,30,16.023,0.602,16.625,16.302,17.001,17.869,60.15,7.874,5.5,0.036,188.0,31.3,579.3,4.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,strict,1,0,1,30,24.447,174.59,199.037,189.763,208.702,237.435,5.024,7.97,5.6,0.877,98.5,98.5,645.7,2.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,strict,6,0,6,30,16.121,147.58,163.701,155.106,172.513,201.366,6.109,7.769,5.6,0.902,207.2,34.5,652.4,3.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,strict,1,0,1,10,111.757,21245.452,21357.209,17331.057,25222.761,29187.74,0.047,41.285,6.9,0.995,81.2,81.2,13239.4,3.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,strict,6,0,6,10,91.688,16209.988,16301.677,12487.398,20374.611,28425.129,0.061,26.236,6.9,0.994,141.1,23.5,12737.4,5.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,ssd_small_960_anchor,6,0,6,30,93.08,0.341,93.422,91.849,95.104,101.545,10.704,10.24,3.3,0.004,592.5,98.7,791.2,19.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,frcnn_resnet50_640,1,0,1,30,2259.072,0.376,2259.448,2254.329,2265.531,2271.17,0.443,15.743,4.1,0.0,98.0,98.0,1041.9,4.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,frcnn_resnet50_640,6,0,6,30,739.521,0.397,739.918,732.098,749.04,772.933,1.352,7.525,4.1,0.001,592.0,98.7,1046.5,18.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,frcnn_resnet50_640,1,0,1,30,2251.234,0.543,2251.777,2242.576,2264.666,2274.985,0.444,8.028,8.5,0.0,97.7,97.7,1049.3,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,sort,frcnn_resnet50_640,6,0,6,30,733.289,0.608,733.896,728.537,739.762,755.385,1.363,8.363,8.5,0.001,593.4,98.9,1063.3,21.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
